name,pl_orbsmax
d1628,0.1916
d1629,0.1175
d1630,0.078
d1631,0.0536
d1632,0.5752
d1633,0.03925
d1634,1.592
d1635,2.34
d1636,0.1467
d1637,0.831
d1638,0.105
d1639,2.4
d1640,0.0632
d1641,0.28
d1642,0.0887
d1643,0.118
d1644,0.0364
d1645,0.1804
d1646,0.1369
d1647,0.076
d1648,0.0599
d1649,0.092
d1650,0.1533
d1651,0.747
d1652,0.02729
d1653,0.1194
d1654,0.237
d1655,0
d1656,0.0937
d1657,0.1235
d1658,0.0769
d1659,3.34
d1660,0.123
d1661,0.119
d1662,0.0332
d1663,0.1528
d1664,0.016
d1665,0.0862
d1666,0.0674
d1667,0.1008
d1668,0.1168
d1669,0.1611
d1670,0.1245
d1671,0.1759
d1672,0.3575
d1673,0.1533
d1674,0.409
d1675,1.052
d1676,0.046
d1677,0.1324
d1678,0.1275
d1679,0.189
d1680,0
d1681,0
d1682,0.165
d1683,1.14
d1684,0
d1685,5.78
d1686,0.086
d1687,0.1857
d1688,0.0581
d1689,0.0456
d1690,1.82
d1691,0.568
d1692,0.61
d1693,0.035
d1694,0
d1695,1.073
d1696,0.2164
d1697,8.4
d1698,0.0362
d1699,0.0385
d1700,0.189
d1701,0.1057
d1702,0.0672
d1703,0.0515
d1704,0.0875
d1705,0.0573
d1706,2.9
d1707,0.1136
d1708,0.0632
d1709,0
d1710,0.1228
d1711,0.04773
d1712,0
d1713,0.0608
d1714,0.0397
d1715,0.057
d1716,0.0118
d1717,0.364
d1718,0.1312
d1719,0.3864
d1720,0.0664
d1721,0
d1722,0.1543
d1723,0.0648
d1724,0.0686
d1725,0.0445
d1726,0.0901
d1727,0.247
d1728,0.2867
d1729,0.0438
d1730,0.0383
d1731,0.2807
d1732,0.2255
d1733,0.0903
d1734,0.1016
d1735,0.1898
d1736,0.1015
d1737,0.0988
d1738,0.055
d1739,0.046
d1740,0.3096
d1741,0.1449
d1742,0.048
d1743,1.74
d1744,0.172
d1745,0.0187
d1746,0.1943
d1747,0.05883
d1748,1.82
d1749,0.0437
d1750,0.1381
d1751,0.1122
d1752,4.18
d1753,0.0738
d1754,0
d1755,0.026
d1756,0.0164
d1757,0.0355
d1758,0.0764
d1759,0.0559
d1760,8.26
d1761,0.194
d1762,0.1026
d1763,0.0652
d1764,0.0886
d1765,0.0731
d1766,0.0261
d1767,0.2253
d1768,0.048
d1769,0.173
d1770,0.3874
d1771,0.0658
d1772,0.098
d1773,0.109
d1774,0.06864
d1775,0.01583
d1776,0.1774
d1777,-0.14
d1778,0.1441
d1779,-0.003
d1780,0.0451
d1781,0.0558
d1782,0.1112
d1783,0.55
d1784,0.3961
d1785,0
d1786,3.02
d1787,0.01848
d1788,2.11
d1789,0.05427
d1790,0
d1791,0.087
d1792,0.469
d1793,0.3623
